sim_id,utid,uid,experiment,sign,trial_name,judgement,judgement_accuracy,judgement_to_MAP,judgement_to_weighted_MAP,part_theta,part_indirect_errors,theta,sigma,internal_state,ground_truth,map_graph,accuracy,map_graph_weighted,accuracy_weighted,model_indirect_errors,theta_MAP,sigma_MAP,theta_MAP_weighted,sigma_MAP_weighted,converged,0->1,0->2,1->0,1->2,2->0,2->1,theta_H,sigma_H,num_indirect_links,indirect_links_loc
1-56da8da8c5b248000ae2adaf-ccause_3-generic_0-es_0.5_3.0-is_LC_discrete_&_1_,1-56da8da8c5b248000ae2adaf-ccause_3-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8126828376836612,0.812682838,0.5,0,0.5,3,LC_discrete_&_1,[1 1 0 0 0 0],[1.  1.  0.  0.5 0.  0.5],0.878732187,[ 1.   1.  -0.   0.5 -0.   0.5],0.878732187,0,,,,,,1.53e-79,4.11e-62,3.85e-53,4.35e-32,3.89e-43,1.43e-93,,,0,[False False False False False False]
1-56da8da8c5b248000ae2adaf-collider_2-generic_1-es_0.5_3.0-is_LC_discrete_&_1_,1-56da8da8c5b248000ae2adaf-collider_2-generic_1,,1,,collider,[0.  0.5 0.  0.5 0.  0. ],0.636196562,0.6623091832470147,0.683794426,0.5,0,0.5,3,LC_discrete_&_2,[ 0 -1  0 -1  0  0],[ 0.  -1.   0.  -0.5  0.   0. ],0.914250707,[ 0.   -0.86  0.   -0.5  -0.   -0.  ],0.910952755,0,,,,,,2.03e-43,0.863236456,7.260000000000001e-27,2.85e-05,1.48e-141,1.44e-128,,,0,[False False False False False False]
1-56da8da8c5b248000ae2adaf-crime_4-label-es_0.5_3.0-is_LC_discrete_&_1_,1-56da8da8c5b248000ae2adaf-crime_4-label,,1,,crime,[-0.5  0.   0.5 -0.5  0.   0. ],0.860427368,0.8438262381113939,0.842076482,0.5,0,0.5,3,LC_discrete_&_3,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0. ],1.0,[-1.   -0.5   1.   -0.5  -0.    0.13],0.979048603,0,,,,,,1.6e-41,1.4399999999999999e-68,7.259999999999999e-42,5.9e-65,3.93e-22,0.833816264,,,2,[False  True False  True False False]
1-56da8da8c5b248000ae2adaf-pos_chain_3-generic_2-es_0.5_3.0-is_LC_discrete_&_1_,1-56da8da8c5b248000ae2adaf-pos_chain_3-generic_2,,1,pos,chain,[1.  0.5 0.  0.5 0.  0.5],0.851477869,0.8551586351244197,0.855158635,0.5,1,0.5,3,LC_discrete_&_4,[1 0 0 1 0 0],[1. 1. 0. 1. 0. 0.],0.828501415,[1. 1. 0. 1. 0. 0.],0.828501415,1,,,,,,5.13e-112,1.24e-58,1.02e-81,1.74e-162,2.41e-121,3.94e-36,,,1,[False  True False False False False]
1-57e91ff08dcd2c00014bea18-ccause_2-generic_0-es_0.5_3.0-is_LC_discrete_&_1_,1-57e91ff08dcd2c00014bea18-ccause_2-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8377785788692375,0.837778579,0.5,0,0.5,3,LC_discrete_&_5,[1 1 0 0 0 0],[1.  1.  0.  0.5 0.  0. ],0.914250707,[ 1.   1.  -0.   0.5 -0.   0. ],0.914250707,0,,,,,,6.030000000000001e-36,3.77e-111,3.1e-104,3.18e-36,7.299999999999999e-55,8.93e-38,,,0,[False False False False False False]
1-57e91ff08dcd2c00014bea18-collider_2-generic_1-es_0.5_3.0-is_LC_discrete_&_1_,1-57e91ff08dcd2c00014bea18-collider_2-generic_1,,1,,collider,[ 0. -1.  0. -1.  0.  0.],1.0,1.0,1.0,0.5,0,0.5,3,LC_discrete_&_6,[ 0 -1  0 -1  0  0],[ 0. -1.  0. -1.  0.  0.],1.0,[ 0. -1.  0. -1.  0.  0.],1.0,0,,,,,,1.44e-105,8.09e-178,1.52e-104,2.03e-162,6.169999999999999e-187,1.2699999999999999e-153,,,0,[False False False False False False]
1-57e91ff08dcd2c00014bea18-crime_control_3-nolabel_control-es_0.5_3.0-is_LC_discrete_&_1_,1-57e91ff08dcd2c00014bea18-crime_control_3-nolabel_control,,1,control,crime,[-1.  -0.5  0.5 -0.5  0.   0. ],0.919417704,0.8817375208021835,0.881737521,0.5,0,0.5,3,LC_discrete_&_7,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0.5],0.919417704,[-1.  -0.5  1.  -0.5  0.   0.5],0.919417704,0,,,,,,6.47e-80,7.07e-138,3.2799999999999998e-229,4.16e-202,8.22e-124,3.01e-21,,,2,[False  True False  True False False]
1-57e91ff08dcd2c00014bea18-pos_chain_3-generic_3-es_0.5_3.0-is_LC_discrete_&_1_,1-57e91ff08dcd2c00014bea18-pos_chain_3-generic_3,,1,pos,chain,[1.  0.5 0.  1.  0.  0. ],0.914250707,1.0,1.0,0.5,1,0.5,3,LC_discrete_&_8,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],0.914250707,[ 1.   0.5 -0.   1.  -0.  -0. ],0.914250707,1,,,,,,6.24e-135,6.73e-153,9.74e-88,2.97e-185,2.53e-166,2.86e-171,,,1,[False  True False False False False]
1-5999ad2a0ed7ae0001991b57-ccause_3-generic_0-es_0.5_3.0-is_LC_discrete_&_1_,1-5999ad2a0ed7ae0001991b57-ccause_3-generic_0,,1,,ccause,[ 1.   1.   0.  -0.5  0.   0. ],0.914250707,0.91695452014626,0.91695452,0.5,0,0.5,3,LC_discrete_&_9,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],1.0,[1. 1. 0. 0. 0. 0.],1.0,0,,,,,,4.52e-16,3.92e-25,8.1e-84,2.63e-59,1.5200000000000002e-37,0.000534562,,,0,[False False False False False False]
1-5999ad2a0ed7ae0001991b57-collider_3-generic_1-es_0.5_3.0-is_LC_discrete_&_1_,1-5999ad2a0ed7ae0001991b57-collider_3-generic_1,,1,,collider,[0.  0.5 0.5 1.  0.  0. ],0.878732187,0.8778305556436947,0.877781698,0.5,0,0.5,3,LC_discrete_&_10,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],1.0,[-0.    1.    0.    0.98 -0.    0.  ],0.996570028,0,,,,,,3.53e-63,4.79e-09,4.8599999999999995e-45,0.196327953,1.09e-98,2.17e-159,,,0,[False False False False False False]
