sim_id,utid,uid,experiment,sign,trial_name,judgement,judgement_accuracy,judgement_to_MAP,judgement_to_weighted_MAP,part_theta,part_indirect_errors,theta,sigma,internal_state,decay_rate,ground_truth,map_graph,accuracy,map_graph_weighted,accuracy_weighted,model_indirect_errors,theta_MAP,sigma_MAP,theta_MAP_weighted,sigma_MAP_weighted,converged,0->1,0->2,1->0,1->2,2->0,2->1,theta_H,sigma_H,num_indirect_links,indirect_links_loc
1-56da8da8c5b248000ae2adaf-ccause_3-generic_0-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,1-56da8da8c5b248000ae2adaf-ccause_3-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8675467642934956,0.867546764,0.5,0,0.5,3,LC_discrete_att_&_att,0,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],1.0,[ 1.  1. -0. -0.  0. -0.],1.0,0,,,,,,1.2500000000000001e-73,6.12e-57,3.24e-38,1.11e-45,5.43e-19,5.19e-19,,,0,[False False False False False False]
1-56da8da8c5b248000ae2adaf-collider_2-generic_1-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,1-56da8da8c5b248000ae2adaf-collider_2-generic_1,,1,,collider,[0.  0.5 0.  0.5 0.  0. ],0.636196562,0.6026402928804868,0.602640293,0.5,0,0.5,3,LC_discrete_att_&_att,0,[ 0 -1  0 -1  0  0],[ 0. -1.  0. -1.  0.  0.],1.0,[-0. -1.  0. -1.  0. -0.],1.0,0,,,,,,1.69e-40,0.060858701,6.4e-19,2.54e-19,7.36e-106,2.32e-98,,,0,[False False False False False False]
1-56da8da8c5b248000ae2adaf-crime_4-label-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,1-56da8da8c5b248000ae2adaf-crime_4-label,,1,,crime,[-0.5  0.   0.5 -0.5  0.   0. ],0.860427368,0.8438262381113939,0.843826238,0.5,2,0.5,3,LC_discrete_att_&_att,0,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  0.  1. -1.  0.  0.],0.886039424,[-1. -0.  1. -1. -0.  0.],0.886039424,2,,,,,,2.12e-31,2.47e-20,4.13e-36,2.66e-26,2.23e-30,1.24e-31,,,2,[False  True False  True False False]
1-56da8da8c5b248000ae2adaf-pos_chain_3-generic_2-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,1-56da8da8c5b248000ae2adaf-pos_chain_3-generic_2,,1,pos,chain,[1.  0.5 0.  0.5 0.  0.5],0.851477869,0.8551586351244197,0.855158635,0.5,1,0.5,3,LC_discrete_att_&_att,0,[1 0 0 1 0 0],[1. 1. 0. 1. 0. 0.],0.828501415,[ 1.  1. -0.  1.  0.  0.],0.828501415,1,,,,,,5.13e-96,3.57e-10,9.23e-39,1.51e-37,4.41e-35,1.66e-35,,,1,[False  True False False False False]
1-57e91ff08dcd2c00014bea18-ccause_2-generic_0-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,1-57e91ff08dcd2c00014bea18-ccause_2-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8675467642934956,0.867546764,0.5,0,0.5,3,LC_discrete_att_&_att,0,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],1.0,[ 1.  1.  0.  0. -0.  0.],1.0,0,,,,,,5.809999999999999e-48,1.36e-65,4.17e-43,5.11e-50,4.03e-16,1.19e-19,,,0,[False False False False False False]
1-57e91ff08dcd2c00014bea18-collider_2-generic_1-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,1-57e91ff08dcd2c00014bea18-collider_2-generic_1,,1,,collider,[ 0. -1.  0. -1.  0.  0.],1.0,1.0,1.0,0.5,0,0.5,3,LC_discrete_att_&_att,0,[ 0 -1  0 -1  0  0],[ 0. -1.  0. -1.  0.  0.],1.0,[ 0. -1.  0. -1.  0. -0.],1.0,0,,,,,,1.61e-91,1.97e-78,1.6499999999999998e-94,8.02e-105,4.26e-53,9.97e-46,,,0,[False False False False False False]
1-57e91ff08dcd2c00014bea18-crime_control_3-nolabel_control-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,1-57e91ff08dcd2c00014bea18-crime_control_3-nolabel_control,,1,control,crime,[-1.  -0.5  0.5 -0.5  0.   0. ],0.919417704,0.8817375208021835,0.881737521,0.5,1,0.5,3,LC_discrete_att_&_att,0,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.   0.   1.  -0.5  0.   0. ],0.919417704,[-1.  -0.   1.  -0.5 -0.   0. ],0.919417704,1,,,,,,1.11e-52,1.56e-10,1.1000000000000002e-129,1.15e-76,5.54e-49,2.25e-90,,,2,[False  True False  True False False]
1-57e91ff08dcd2c00014bea18-pos_chain_3-generic_3-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,1-57e91ff08dcd2c00014bea18-pos_chain_3-generic_3,,1,pos,chain,[1.  0.5 0.  1.  0.  0. ],0.914250707,1.0,1.0,0.5,1,0.5,3,LC_discrete_att_&_att,0,[1 0 0 1 0 0],[1.  0.5 0.  1.  0.  0. ],0.914250707,[ 1.   0.5 -0.   1.  -0.   0. ],0.914250707,1,,,,,,6.77e-117,6.78e-109,8.85e-45,2.9699999999999997e-55,4.3799999999999995e-82,6.36e-48,,,1,[False  True False False False False]
1-5999ad2a0ed7ae0001991b57-ccause_3-generic_0-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,1-5999ad2a0ed7ae0001991b57-ccause_3-generic_0,,1,,ccause,[ 1.   1.   0.  -0.5  0.   0. ],0.914250707,0.91695452014626,0.91695452,0.5,0,0.5,3,LC_discrete_att_&_att,0,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],1.0,[ 1.  1. -0. -0.  0. -0.],1.0,0,,,,,,1.72e-14,9.240000000000001e-21,6.24e-50,5.0399999999999994e-30,7.34e-11,1.75e-13,,,0,[False False False False False False]
1-5999ad2a0ed7ae0001991b57-collider_3-generic_1-es_0.5_3.0-is_LC_discrete_att_&_att_0.0,1-5999ad2a0ed7ae0001991b57-collider_3-generic_1,,1,,collider,[0.  0.5 0.5 1.  0.  0. ],0.878732187,0.8778305556436947,0.877830556,0.5,0,0.5,3,LC_discrete_att_&_att,0,[0 1 0 1 0 0],[0. 1. 0. 1. 0. 0.],1.0,[-0.  1.  0.  1. -0.  0.],1.0,0,,,,,,1.1800000000000002e-79,2.4699999999999998e-42,4.66e-34,9.54e-17,1.2e-57,4.57e-67,,,0,[False False False False False False]
