sim_id,utid,uid,experiment,sign,trial_name,judgement,judgement_accuracy,judgement_to_MAP,judgement_to_weighted_MAP,part_theta,part_indirect_errors,theta,sigma,internal_state,ground_truth,map_graph,accuracy,map_graph_weighted,accuracy_weighted,model_indirect_errors,theta_MAP,sigma_MAP,theta_MAP_weighted,sigma_MAP_weighted,converged,0->1,0->2,1->0,1->2,2->0,2->1,theta_H,sigma_H,num_indirect_links,indirect_links_loc
1-56da8da8c5b248000ae2adaf-ccause_3-generic_0-es_0.5_3.0-is_normative_&_1_,1-56da8da8c5b248000ae2adaf-ccause_3-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8675467642934956,0.867546764,0.5,0,0.5,3,normative_&_1,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],1.0,[ 1.  1. -0. -0. -0.  0.],1.0,0,,,,,,1.53e-79,4.11e-62,3.85e-53,7.91e-93,3.89e-43,1.57e-96,,,0,[False False False False False False]
1-56da8da8c5b248000ae2adaf-ccause_3-generic_0-es_0.5_3.0-is_normative_&_1_,1-56da8da8c5b248000ae2adaf-ccause_3-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8675467642934956,0.867546764,0.5,0,0.5,3,normative_&_2,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],1.0,[ 1.  1. -0. -0. -0.  0.],1.0,0,,,,,,1.53e-79,4.11e-62,3.85e-53,7.91e-93,3.89e-43,1.57e-96,,,0,[False False False False False False]
1-56da8da8c5b248000ae2adaf-collider_2-generic_1-es_0.5_3.0-is_normative_&_1_,1-56da8da8c5b248000ae2adaf-collider_2-generic_1,,1,,collider,[0.  0.5 0.  0.5 0.  0. ],0.636196562,0.6026402928804868,0.602640293,0.5,0,0.5,3,normative_&_3,[ 0 -1  0 -1  0  0],[ 0. -1.  0. -1.  0.  0.],1.0,[ 0. -1.  0. -1. -0. -0.],1.0,0,,,,,,2.03e-43,2.93e-29,7.260000000000001e-27,4.2799999999999993e-23,4.2399999999999995e-136,1.4799999999999998e-128,,,0,[False False False False False False]
1-56da8da8c5b248000ae2adaf-crime_4-label-es_0.5_3.0-is_normative_&_1_,1-56da8da8c5b248000ae2adaf-crime_4-label,,1,,crime,[-0.5  0.   0.5 -0.5  0.   0. ],0.860427368,0.8438262381113939,0.843826238,0.5,0,0.5,3,normative_&_4,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0. ],1.0,[-1.  -0.5  1.  -0.5  0.  -0. ],1.0,0,,,,,,1.6e-41,8.0500000000000005e-75,7.259999999999999e-42,3.31e-71,6.17e-108,4.7799999999999993e-67,,,2,[False  True False  True False False]
1-56da8da8c5b248000ae2adaf-pos_chain_3-generic_2-es_0.5_3.0-is_normative_&_1_,1-56da8da8c5b248000ae2adaf-pos_chain_3-generic_2,,1,pos,chain,[1.  0.5 0.  0.5 0.  0.5],0.851477869,0.8551586351244197,0.855158635,0.5,0,0.5,3,normative_&_5,[1 0 0 1 0 0],[1. 0. 0. 1. 0. 0.],1.0,[ 1.  0.  0.  1.  0. -0.],1.0,0,,,,,,5.13e-112,4.35e-78,1.02e-81,4.35e-78,1.76e-91,1.54e-162,,,1,[False  True False False False False]
1-57e91ff08dcd2c00014bea18-ccause_2-generic_0-es_0.5_3.0-is_normative_&_1_,1-57e91ff08dcd2c00014bea18-ccause_2-generic_0,,1,,ccause,[0.5 0.5 0.  0.  0.  0. ],0.878732187,0.8675467642934956,0.867546764,0.5,0,0.5,3,normative_&_6,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],1.0,[ 1.  1.  0. -0. -0. -0.],1.0,0,,,,,,6.030000000000001e-36,3.77e-111,6.09e-66,1.04e-151,7.299999999999999e-55,2.27e-15,,,0,[False False False False False False]
1-57e91ff08dcd2c00014bea18-collider_2-generic_1-es_0.5_3.0-is_normative_&_1_,1-57e91ff08dcd2c00014bea18-collider_2-generic_1,,1,,collider,[ 0. -1.  0. -1.  0.  0.],1.0,1.0,1.0,0.5,0,0.5,3,normative_&_7,[ 0 -1  0 -1  0  0],[ 0. -1.  0. -1.  0.  0.],1.0,[ 0. -1.  0. -1.  0.  0.],1.0,0,,,,,,1.44e-105,1.15e-107,1.52e-104,2.7e-92,4.570000000000001e-167,3.12e-150,,,0,[False False False False False False]
1-57e91ff08dcd2c00014bea18-crime_control_3-nolabel_control-es_0.5_3.0-is_normative_&_1_,1-57e91ff08dcd2c00014bea18-crime_control_3-nolabel_control,,1,control,crime,[-1.  -0.5  0.5 -0.5  0.   0. ],0.919417704,0.9163757989992909,0.916375799,0.5,0,0.5,3,normative_&_8,[-1.  -0.5  1.  -0.5  0.   0. ],[-1.  -0.5  1.  -0.5  0.   0. ],1.0,[-1.  -0.5  1.  -0.5  0.  -0. ],1.0,0,,,,,,6.47e-80,1.76e-157,3.2799999999999998e-229,8.82e-234,1.23e-112,2.54e-131,,,2,[False  True False  True False False]
1-57e91ff08dcd2c00014bea18-pos_chain_3-generic_3-es_0.5_3.0-is_normative_&_1_,1-57e91ff08dcd2c00014bea18-pos_chain_3-generic_3,,1,pos,chain,[1.  0.5 0.  1.  0.  0. ],0.914250707,0.91695452014626,0.91695452,0.5,0,0.5,3,normative_&_9,[1 0 0 1 0 0],[1. 0. 0. 1. 0. 0.],1.0,[ 1.  0. -0.  1. -0. -0.],1.0,0,,,,,,6.24e-135,1.4199999999999998e-170,9.74e-88,7.21e-175,9.24e-128,1.3100000000000002e-179,,,1,[False  True False False False False]
1-5999ad2a0ed7ae0001991b57-ccause_3-generic_0-es_0.5_3.0-is_normative_&_1_,1-5999ad2a0ed7ae0001991b57-ccause_3-generic_0,,1,,ccause,[ 1.   1.   0.  -0.5  0.   0. ],0.914250707,0.91695452014626,0.91695452,0.5,0,0.5,3,normative_&_10,[1 1 0 0 0 0],[1. 1. 0. 0. 0. 0.],1.0,[ 1.  1.  0. -0.  0. -0.],1.0,0,,,,,,4.52e-16,3.92e-25,8.1e-84,3.7499999999999996e-98,1.5200000000000002e-37,2.8500000000000004e-43,,,0,[False False False False False False]
